ESM1b_AVE_91,ESM1b_AVE_497,ESM1b_AVE_315
0.55541347,0.709447253,0.213700964
0.436772531,0.723575927,0.025005563
0.619387883,0.665404928,0.133187414
0.682066136,0.64888053,0.255859273
0.575677739,0.786084958,0.197478318
0.632991266,0.772809267,0.044947295
0.632075543,0.732474845,0.114133911
0.533833432,0.636556852,0.079986223
0.702706313,0.664918397,0.221747846
0.601500518,0.633145841,0.314316873
0.620846541,0.683921965,0.350874726
0.647017109,0.73828885,0.131272478
0.678918587,0.748448318,0.204652536
0.521606106,0.735763361,0.160233253
0.818561229,0.937016428,0.169589559
0.628003445,0.606068204,0.670932872
0.732124648,0.545866481,0.659759996
0.600901427,0.599341949,0.253331061
0.778642366,0.726334903,0.688232395
0.510338848,0.863869534,0.511412149
0.369024387,0.681625874,0.598188684
0.347500206,0.443300393,0.546957849
0.369290172,0.554991178,0.420628927
0.418703175,0.556114288,0.573765537
0.493416876,0.54111907,0.402106036
0.326021532,0.571624824,0.42133898
0.769622279,0.555603788,0.802530645
0.536552267,0.695867232,0.415723688
0.612087063,0.369460006,0.455337801
0.485612339,0.563835896,0.378360397
0.346957919,0.453361021,0.514420029
0.708715385,0.548182499,0.688270811
0.38482114,0.28373743,0.419432708
0.545501167,0.551680579,0.705266181
0.568234777,0.581632833,0.205455671
0.894330356,0.678696825,0.536980093
0.565355452,0.52609372,0.52713471
0.416401839,0.544050451,0.443765096
0.525089946,0.678962645,0.625552025
0.600546488,0.653558262,0.635032572
0.855986396,0.235673859,0.636027042
0.687995843,0.596584949,0.730670076
0.257487579,0.501314164,0.537370221
0.470603054,0.625576168,0.36716527
0.669003945,0.651594357,0.273526656
0.524342709,0.629159741,0.263981654
0.572614748,0.383321889,0.764450698
0.602276987,0.632188725,0.218068459
0.521965939,0.595363557,0.47705437
0.668195309,0.766106168,0.203407801
0.680545515,0.598050783,0.234640923
0.511586948,0.670387059,0.205988985
0.654965744,0.65528532,0.223553741
0.500729408,0.746911582,0.161753471
0.519896727,0.651428728,0.321602834
0.561475696,0.700176104,0.199497864
0.706224594,0.678385511,0.159178273
0.564662779,0.720599862,0.208459727
0.629172843,0.771303652,0.030161005
0.415886924,0.553181704,0.478042379
0.568348102,0.760253456,0.117551704
0.636175479,0.677500247,0.265028492
0.569429923,0.760957147,0.139534978
0.515007167,0.685764758,0.14725072
0.612101695,0.60737123,0.115925661
0.760495039,0.770838848,0.175132038
0.464254339,0.600769146,0.345336944
0.658001013,0.776989955,0.042693043
0.595344758,0.695063984,0.26137637
0.570346044,0.726549258,0.138169794
0.696856585,0.609787159,0.218691571
0.615278508,0.746841581,0.215841557
0.563916968,0.630951261,0.153670379
0.585651374,0.660952631,0.162388419
0.557137797,0.697992602,0.108971508
0.5565185,0.645551922,0.208552295
0.549445391,0.650824428,0.217369592
0.503390627,0.770320989,0.393598636
0.692173751,0.733911801,0.260211511
0.535757931,0.630282716,0.24469011
0.589744574,0.625959823,0.160011563
0.462966772,0.750508677,0.236176672
0.502719636,0.679385206,0.254016655
0.582504622,0.64988862,0.091610379
0.666300008,0.704643884,0.082585298
0.334290715,0.627435934,0.430788454
0.639811663,0.775528416,0.346030491
0.564076512,0.597419368,0.26748372
0.609084294,0.532300334,0.227465474
0.621826334,0.628255343,0.080056556
0.536091436,0.685016751,0.233581377
0.540891643,0.733581614,0.200547422
0.664563869,0.646247536,0.163525072
0.591647921,0.637656751,0.121796835
0.539607842,0.672273755,0.034516304
0.614840405,0.716439267,0.118088832
0.634403589,0.681122947,0.226674038
0.405904165,0.805231357,0.294532775
0.631526753,0.662736581,0.203641497
0.653299913,0.641906828,0.177267329
0.624066952,0.720298887,0.153605536
0.653886246,0.675573928,0.239705695
0.507821994,0.686625105,0.135918501
0.551459392,0.704862076,0.039582975
0.673377629,0.7276167,0.327606498
0.526551192,0.604829759,0.111513267
0.486687159,0.522389503,0.097030015
0.62002523,0.607687162,0.091814554
0.662970569,0.622849674,0.15060562
0.492590671,0.560937449,0.107915365
0.672881097,0.668943996,0.200505276
0.634741772,0.689354858,0.096546526
0.588138367,0.625208341,0.249848887
0.625079046,0.687114888,0.175555816
0.608493614,0.68795705,0.142414018
0.695270468,0.701917809,0.188630165
0.709376489,0.728266218,0.149141761
0.604695463,0.682191318,0.275590741
0.512039335,0.662574404,0.194645785
0.630769727,0.608611705,0.160034705
0.654466424,0.639996374,0.12969207
0.654565366,0.656837608,0.259828699
0.622757188,0.69858517,0.422432215
0.619560666,0.634115413,0.305535444
0.63465008,0.693016693,0.267036253
0.680457208,0.754374611,0.1742454
0.685288189,0.736535952,0.214195707
0.510669068,0.692525144,0.230327409
0.582351299,0.641525144,0.118026247
0.630151392,0.722490628,0.032765109
0.412887125,0.662137848,0.380106324
0.483689582,0.663504776,0.222824463
0.627461058,0.623108913,0.06001904
0.411253063,0.439808099,0.496705134
0.671655774,0.700564713,0.199912439
0.554179173,0.787181423,0.192513915
0.491613532,0.719641146,0.289607934
